Training Iterations; Lorentz , DerivLorentz , Sigmoid , Tanh , ReLU
15700.0;0.6736882235846824,0.1641922909886913,2.8060136473534016e-06
15800.0;0.6735668630129142,0.1641672179837085,2.765107911809849e-06
15900.0;0.6734451166042791,0.16414231684153754,2.725058718212404e-06
16000.0;0.6733230191184393,0.16411758604945595,2.6858436497874552e-06
16100.0;0.6732006079176941,0.16409302413093627,2.647441026466426e-06
16200.0;0.6730779229239856,0.1640686296447336,2.6098298749226816e-06
16300.0;0.6729550065573991,0.16404440118398028,2.572989900013461e-06
16400.0;0.6728319036552726,0.16402033737528648,2.5369014575568283e-06
16500.0;0.6727086613712172,0.16399643687784488,2.501545528375063e-06
16600.0;0.6725853290535813,0.16397269838253653,2.4669036935397787e-06
16700.0;0.6724619581031333,0.16394912061103845,2.432958110755108e-06
16800.0;0.6723386018100411,0.16392570231492914,2.3996914918240117e-06
16900.0;0.6722153151705138,0.16390244227479084,2.3670870811432542e-06
17000.0;0.6720921546838137,0.16387933929930715,2.3351286351751652e-06
17100.0;0.6719691781306827,0.16385639222435405,2.3038004028476744e-06
17200.0;0.6718464443345739,0.16383359991208174,2.27308710683433e-06
17300.0;0.6717240129074178,0.16381096124998712,2.2429739256766537e-06
17400.0;0.6716019439819995,0.16378847514997297,2.213446476701412e-06
17500.0;0.671480297933316,0.16376614054739358,2.184490799698888e-06
17600.0;0.6713591350915789,0.16374395640008432,2.1560933413218546e-06
17700.0;0.671238515449758,0.1637219216873728,2.128240940171221e-06
17800.0;0.671118498368761,0.1637000354090707,2.1009208125383667e-06
17900.0;0.6709991422834733,0.16367829658444272,2.074120538767288e-06
18000.0;0.6708805044129642,0.1636567042511524,2.04782805021132e-06
18100.0;0.6707626404781651,0.16363525746418145,2.022031616753798e-06
18200.0;0.6706456044302722,0.16361395529472025,1.9967198348668624e-06
18300.0;0.6705294481929898,0.16359279682902897,1.9718816161830903e-06
18400.0;0.6704142214215376,0.16357178116726506,1.947506176554018e-06
18500.0;0.6702999712810882,0.1635509074222757,1.9235830255746473e-06
18600.0;0.6701867422469848,0.1635301747183533,1.9001019565520865e-06
18700.0;0.6700745759287293,0.16350958218995032,1.877053036895155e-06
18800.0;0.6699635109193341,0.1634891289803516,1.8544265989070451e-06
18900.0;0.669853582671207,0.16346881424030105,1.8322132309622747e-06
19000.0;0.6697448233992984,0.16344863712657987,1.8104037690500455e-06
19100.0;0.6696372620118034,0.1634285968005334,1.7889892886653694e-06
19200.0;0.6695309240682733,0.16340869242654232,1.7679610970330657e-06
19300.0;0.6694258317645858,0.1633889231704358,1.7473107256502507e-06
19400.0;0.6693220039438353,0.16336928819784155,1.727029923129925e-06
19500.0;0.6692194561318618,0.16334978667246958,1.7071106483336495e-06
19600.0;0.6691182005958342,0.16333041775432391,1.6875450637797095e-06
19700.0;0.6690182464240559,0.1633111805978378,1.6683255293127999e-06
19800.0;0.6689195996249525,0.16329207434992682,1.6494445960252492e-06
19900.0;0.6688222632430624,0.16327309814795268,1.6308950004158764e-06
20000.0;0.6687262374897494,0.16325425111759279,1.6126696587773893e-06
20100.0;0.6686315198863143,0.16323553237060467,1.5947616618015868e-06
20200.0;0.6685381054171852,0.16321694100247947,1.5771642693902113e-06
20300.0;0.668445986690904,0.1631984760899736,1.5598709056664372e-06
20400.0;0.6683551541067211,0.16318013668850662,1.5428751541713833e-06
20500.0;0.6682655960247024,0.16316192182941472,1.5261707532452906e-06
20600.0;0.6681772989374185,0.16314383051704476,1.5097515915769753e-06
20700.0;0.6680902476414171,0.16312586172567325,1.4936117039197865e-06
20800.0;0.6680044254068713,0.16310801439623276,1.4777452669632937e-06
20900.0;0.6679198141439705,0.16309028743282566,1.4621465953547273e-06
21000.0;0.6678363945648057,0.16307267969900208,1.446810137863846e-06
21100.0;0.6677541463396849,0.16305519001377672,1.4317304736836383e-06
21200.0;0.6676730482470004,0.16303781714735507,1.4169023088626565e-06
21300.0;0.6675930783159324,0.16302055981653643,1.4023204728598107e-06
21400.0;0.6675142139614488,0.16300341667975538,1.3879799152207262e-06
21500.0;0.6674364321111996,0.16298638633171972,1.373875702365745e-06
21600.0;0.6673597093240559,0.1629694672975972,1.3600030144878006e-06
21700.0;0.6672840219001557,0.16295265802669362,1.3463571425547283e-06
21800.0;0.6672093459824392,0.1629359568855635,1.332933485410038e-06
21900.0;0.6671356576497447,0.1629193621504788,1.3197275469689661e-06
22000.0;0.667062933001626,0.16290287199917639,1.3067349335068847e-06
22100.0;0.6669911482351147,0.1628864845017925,1.293951351032792e-06
22200.0;0.6669202797137103,0.16287019761087645,1.281372602748636e-06
22300.0;0.6668503040289295,0.16285400915036613,1.2689945865869454e-06
22400.0;0.6667811980547741,0.16283791680338475,1.2568132928248006e-06
22500.0;0.6667129389955071,0.16282191809870306,1.2448248017737167e-06
22600.0;0.6666455044271403,0.16280601039568462,1.2330252815365005e-06
22700.0;0.666578872333049,0.1627901908675073,1.221410985835143e-06
22800.0;0.6665130211341278,0.16277445648242034,1.2099782518999541e-06
22900.0;0.6664479297139032,0.16275880398276188,1.1987234984247525e-06
23000.0;0.6663835774390093,0.16274322986141904,1.1876432235782339e-06
23100.0;0.6663199441754218,0.16272773033536087,1.1767340030753934e-06
23200.0;0.6662570103008317,0.16271230131581893,1.165992488302775e-06
23300.0;0.666194756713527,0.16269693837461885,1.1554154044970967e-06
23400.0;0.6661331648381268,0.16268163670608796,1.1449995489756057e-06
23500.0;0.6660722166285005,0.16266639108386646,1.1347417894141455e-06
23600.0;0.6660118945681761,0.16265119581183884,1.1246390621742173e-06
23700.0;0.6659521816685319,0.16263604466826714,1.1146883706746432e-06
23800.0;0.6658930614650366,0.16262093084205087,1.1048867838074113e-06
23900.0;0.6658345180117878,0.16260584685984747,1.0952314343957283e-06
24000.0;0.6657765358745781,0.1625907845025652,1.0857195176940995e-06
24100.0;0.6657191001226981,0.16257573470946807,1.0763482899260454e-06
24200.0;0.6656621963196704,0.16256068746781355,1.0671150668613244e-06
24300.0;0.6656058105130858,0.16254563168555633,1.0580172224295546e-06
24400.0;0.6655499292237042,0.1625305550441855,1.049052187370222e-06
24500.0;0.665494539433959,0.1625154438282052,1.0402174479155472e-06
24600.0;0.6654396285759956,0.1625002827270924,1.0315105445079063e-06
24700.0;0.6653851845193579,0.16248505460474763,1.0229290705504342e-06
24800.0;0.6653311955584241,0.16246974023046742,1.0144706711859106e-06
24900.0;0.6652776503996831,0.1624543179642674,1.006133042109146e-06
25000.0;0.6652245381489312,0.16243876338793012,9.979139284071284e-07
25100.0;0.6651718482984583,0.16242304887138265,9.898111234275088e-07
25200.0;0.6651195707142843,0.16240714306186532,9.818224676757895e-07
25300.0;0.6650676956234992,0.1623910102807422,9.739458477385332e-07
25400.0;0.6650162136017514,0.16237460980964138,9.661791952323102e-07
25500.0;0.6649651155609232,0.1623578950437856,9.585204857794036e-07
25600.0;0.6649143927370256,0.16234081248575036,9.509677380063379e-07
25700.0;0.6648640366783394,0.1623233005473418,9.435190125677597e-07
25800.0;0.664814039233824,0.1623052881206754,9.361724111922359e-07
25900.0;0.6647643925418147,0.1622866928717424,9.289260757526239e-07
26000.0;0.6647150890190187,0.16226741920070414,9.217781873556372e-07
26100.0;0.6646661213498207,0.162247355802888,9.14726965455832e-07
26200.0;0.664617482475911,0.1622263727532088,9.077706669883531e-07
26300.0;0.6645691655862317,0.16220431802510354,9.009075855229897e-07
26400.0;0.6645211641072527,0.16218101334421595,8.941360504373743e-07
26500.0;0.6644734716935725,0.1621562492691801,8.874544261101785e-07
26600.0;0.6644260822188444,0.1621297793905803,8.808611111322443e-07
26700.0;0.6643789897670255,0.1621013135505255,8.74354537537586e-07
